Date,WeekDayName,WeekDayNameShort,WeekdayIndex,WeekNumber,MonthName,MonthNameShort,MonthIndex,Module,AcademicYear,AcademicYearShort,AcademicYearStart,AcademicYearEnd,FullModuleName,ModuleIndex
04/10/2017,Wednesday,Wed,3,6,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
05/10/2017,Thursday,Thu,4,6,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
06/10/2017,Friday,Fri,5,6,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
07/10/2017,Saturday,Sat,6,6,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
08/10/2017,Sunday,Sun,7,6,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
09/10/2017,Monday,Mon,1,7,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
10/10/2017,Tuesday,Tue,2,7,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
11/10/2017,Wednesday,Wed,3,7,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
12/10/2017,Thursday,Thu,4,7,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
13/10/2017,Friday,Fri,5,7,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
14/10/2017,Saturday,Sat,6,7,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
15/10/2017,Sunday,Sun,7,7,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
16/10/2017,Monday,Mon,1,8,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
17/10/2017,Tuesday,Tue,2,8,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
18/10/2017,Wednesday,Wed,3,8,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
19/10/2017,Thursday,Thu,4,8,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
20/10/2017,Friday,Fri,5,8,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
21/10/2017,Saturday,Sat,6,8,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
22/10/2017,Sunday,Sun,7,8,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
23/10/2017,Monday,Mon,1,0,October,Oct,2,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
24/10/2017,Tuesday,Tue,2,0,October,Oct,2,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
25/10/2017,Wednesday,Wed,3,0,October,Oct,2,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
26/10/2017,Thursday,Thu,4,0,October,Oct,2,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
27/10/2017,Friday,Fri,5,0,October,Oct,2,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
28/10/2017,Saturday,Sat,6,0,October,Oct,2,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
29/10/2017,Sunday,Sun,7,0,October,Oct,2,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
30/10/2017,Monday,Mon,1,0,October,Oct,2,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
31/10/2017,Tuesday,Tue,2,0,October,Oct,2,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
01/11/2017,Wednesday,Wed,3,0,November,Nov,3,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
02/11/2017,Thursday,Thu,4,0,November,Nov,3,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
03/11/2017,Friday,Fri,5,0,November,Nov,3,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
04/11/2017,Saturday,Sat,6,0,November,Nov,3,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
05/11/2017,Sunday,Sun,7,0,November,Nov,3,Module 1,2017-18,0,2017,0,2017-18 Module 1,1
06/11/2017,Monday,Mon,1,9,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
07/11/2017,Tuesday,Tue,2,9,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
08/11/2017,Wednesday,Wed,3,9,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
09/11/2017,Thursday,Thu,4,9,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
10/11/2017,Friday,Fri,5,9,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
11/11/2017,Saturday,Sat,6,9,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
12/11/2017,Sunday,Sun,7,9,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
13/11/2017,Monday,Mon,1,10,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
14/11/2017,Tuesday,Tue,2,10,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
15/11/2017,Wednesday,Wed,3,10,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
16/11/2017,Thursday,Thu,4,10,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
17/11/2017,Friday,Fri,5,10,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
18/11/2017,Saturday,Sat,6,10,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
19/11/2017,Sunday,Sun,7,10,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
20/11/2017,Monday,Mon,1,11,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
21/11/2017,Tuesday,Tue,2,11,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
22/11/2017,Wednesday,Wed,3,11,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
23/11/2017,Thursday,Thu,4,11,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
24/11/2017,Friday,Fri,5,11,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
25/11/2017,Saturday,Sat,6,11,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
26/11/2017,Sunday,Sun,7,11,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
27/11/2017,Monday,Mon,1,12,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
28/11/2017,Tuesday,Tue,2,12,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
29/11/2017,Wednesday,Wed,3,12,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
30/11/2017,Thursday,Thu,4,12,November,Nov,3,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
01/12/2017,Friday,Fri,5,12,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
02/12/2017,Saturday,Sat,6,12,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
03/12/2017,Sunday,Sun,7,12,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
04/12/2017,Monday,Mon,1,13,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
05/12/2017,Tuesday,Tue,2,13,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
06/12/2017,Wednesday,Wed,3,13,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
07/12/2017,Thursday,Thu,4,13,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
08/12/2017,Friday,Fri,5,13,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
09/12/2017,Saturday,Sat,6,13,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
10/12/2017,Sunday,Sun,7,13,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
11/12/2017,Monday,Mon,1,14,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
12/12/2017,Tuesday,Tue,2,14,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
13/12/2017,Wednesday,Wed,3,14,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
14/12/2017,Thursday,Thu,4,14,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
15/12/2017,Friday,Fri,5,14,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
16/12/2017,Saturday,Sat,6,14,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
17/12/2017,Sunday,Sun,7,14,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
18/12/2017,Monday,Mon,1,15,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
19/12/2017,Tuesday,Tue,2,15,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
20/12/2017,Wednesday,Wed,3,15,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
21/12/2017,Thursday,Thu,4,15,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
22/12/2017,Friday,Fri,5,15,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
23/12/2017,Saturday,Sat,6,15,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
24/12/2017,Sunday,Sun,7,15,December,Dec,4,Module 2,2017-18,17/18,2017,2018,2017-18 Module 2,2
25/12/2017,Monday,Mon,1,0,December,Dec,4,Module 2,2017-18,0,2017,0,2017-18 Module 2,2
26/12/2017,Tuesday,Tue,2,0,December,Dec,4,Module 2,2017-18,0,2017,0,2017-18 Module 2,2
27/12/2017,Wednesday,Wed,3,0,December,Dec,4,Module 2,2017-18,0,2017,0,2017-18 Module 2,2
28/12/2017,Thursday,Thu,4,0,December,Dec,4,Module 2,2017-18,0,2017,0,2017-18 Module 2,2
29/12/2017,Friday,Fri,5,0,December,Dec,4,Module 2,2017-18,0,2017,0,2017-18 Module 2,2
30/12/2017,Saturday,Sat,6,0,December,Dec,4,Module 2,2017-18,0,2017,0,2017-18 Module 2,2
31/12/2017,Sunday,Sun,7,0,December,Dec,4,Module 2,2017-18,0,2017,0,2017-18 Module 2,2
01/01/2018,Monday,Mon,1,16,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
02/01/2018,Tuesday,Tue,2,16,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
03/01/2018,Wednesday,Wed,3,16,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
04/01/2018,Thursday,Thu,4,16,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
05/01/2018,Friday,Fri,5,16,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
06/01/2018,Saturday,Sat,6,16,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
07/01/2018,Sunday,Sun,7,16,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
08/01/2018,Monday,Mon,1,17,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
09/01/2018,Tuesday,Tue,2,17,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
10/01/2018,Wednesday,Wed,3,17,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
11/01/2018,Thursday,Thu,4,17,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
12/01/2018,Friday,Fri,5,17,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
13/01/2018,Saturday,Sat,6,17,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
14/01/2018,Sunday,Sun,7,17,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
15/01/2018,Monday,Mon,1,18,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
16/01/2018,Tuesday,Tue,2,18,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
17/01/2018,Wednesday,Wed,3,18,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
18/01/2018,Thursday,Thu,4,18,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
19/01/2018,Friday,Fri,5,18,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
20/01/2018,Saturday,Sat,6,18,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
21/01/2018,Sunday,Sun,7,18,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
22/01/2018,Monday,Mon,1,19,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
23/01/2018,Tuesday,Tue,2,19,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
24/01/2018,Wednesday,Wed,3,19,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
25/01/2018,Thursday,Thu,4,19,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
26/01/2018,Friday,Fri,5,19,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
27/01/2018,Saturday,Sat,6,19,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
28/01/2018,Sunday,Sun,7,19,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
29/01/2018,Monday,Mon,1,20,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
30/01/2018,Tuesday,Tue,2,20,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
31/01/2018,Wednesday,Wed,3,20,January,Jan,5,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
01/02/2018,Thursday,Thu,4,20,February,Feb,6,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
02/02/2018,Friday,Fri,5,20,February,Feb,6,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
03/02/2018,Saturday,Sat,6,20,February,Feb,6,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
04/02/2018,Sunday,Sun,7,20,February,Feb,6,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
05/02/2018,Monday,Mon,1,21,February,Feb,6,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
06/02/2018,Tuesday,Tue,2,21,February,Feb,6,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
07/02/2018,Wednesday,Wed,3,21,February,Feb,6,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
08/02/2018,Thursday,Thu,4,21,February,Feb,6,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
09/02/2018,Friday,Fri,5,21,February,Feb,6,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
10/02/2018,Saturday,Sat,6,21,February,Feb,6,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
11/02/2018,Sunday,Sun,7,21,February,Feb,6,Module 3,2017-18,17/18,2017,2018,2017-18 Module 3,3
12/02/2018,Monday,Mon,1,0,February,Feb,6,Module 3,2017-18,0,2017,0,2017-18 Module 3,3
13/02/2018,Tuesday,Tue,2,0,February,Feb,6,Module 3,2017-18,0,2017,0,2017-18 Module 3,3
14/02/2018,Wednesday,Wed,3,0,February,Feb,6,Module 3,2017-18,0,2017,0,2017-18 Module 3,3
15/02/2018,Thursday,Thu,4,0,February,Feb,6,Module 3,2017-18,0,2017,0,2017-18 Module 3,3
16/02/2018,Friday,Fri,5,0,February,Feb,6,Module 3,2017-18,0,2017,0,2017-18 Module 3,3
17/02/2018,Saturday,Sat,6,0,February,Feb,6,Module 3,2017-18,0,2017,0,2017-18 Module 3,3
18/02/2018,Sunday,Sun,7,0,February,Feb,6,Module 3,2017-18,0,2017,0,2017-18 Module 3,3
19/02/2018,Monday,Mon,1,22,February,Feb,6,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
20/02/2018,Tuesday,Tue,2,22,February,Feb,6,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
21/02/2018,Wednesday,Wed,3,22,February,Feb,6,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
22/02/2018,Thursday,Thu,4,22,February,Feb,6,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
23/02/2018,Friday,Fri,5,22,February,Feb,6,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
24/02/2018,Saturday,Sat,6,22,February,Feb,6,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
25/02/2018,Sunday,Sun,7,22,February,Feb,6,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
26/02/2018,Monday,Mon,1,23,February,Feb,6,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
27/02/2018,Tuesday,Tue,2,23,February,Feb,6,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
28/02/2018,Wednesday,Wed,3,23,February,Feb,6,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
01/03/2018,Thursday,Thu,4,23,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
02/03/2018,Friday,Fri,5,23,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
03/03/2018,Saturday,Sat,6,23,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
04/03/2018,Sunday,Sun,7,23,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
05/03/2018,Monday,Mon,1,24,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
06/03/2018,Tuesday,Tue,2,24,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
07/03/2018,Wednesday,Wed,3,24,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
08/03/2018,Thursday,Thu,4,24,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
09/03/2018,Friday,Fri,5,24,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
10/03/2018,Saturday,Sat,6,24,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
11/03/2018,Sunday,Sun,7,24,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
12/03/2018,Monday,Mon,1,25,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
13/03/2018,Tuesday,Tue,2,25,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
14/03/2018,Wednesday,Wed,3,25,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
15/03/2018,Thursday,Thu,4,25,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
16/03/2018,Friday,Fri,5,25,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
17/03/2018,Saturday,Sat,6,25,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
18/03/2018,Sunday,Sun,7,25,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
19/03/2018,Monday,Mon,1,26,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
20/03/2018,Tuesday,Tue,2,26,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
21/03/2018,Wednesday,Wed,3,26,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
22/03/2018,Thursday,Thu,4,26,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
23/03/2018,Friday,Fri,5,26,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
24/03/2018,Saturday,Sat,6,26,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
25/03/2018,Sunday,Sun,7,26,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
26/03/2018,Monday,Mon,1,27,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
27/03/2018,Tuesday,Tue,2,27,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
28/03/2018,Wednesday,Wed,3,27,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
29/03/2018,Thursday,Thu,4,27,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
30/03/2018,Friday,Fri,5,27,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
31/03/2018,Saturday,Sat,6,27,March,Mar,7,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
01/04/2018,Sunday,Sun,7,27,April,Apr,8,Module 4,2017-18,17/18,2017,2018,2017-18 Module 4,4
02/04/2018,Monday,Mon,1,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
03/04/2018,Tuesday,Tue,2,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
04/04/2018,Wednesday,Wed,3,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
05/04/2018,Thursday,Thu,4,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
06/04/2018,Friday,Fri,5,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
07/04/2018,Saturday,Sat,6,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
08/04/2018,Sunday,Sun,7,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
09/04/2018,Monday,Mon,1,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
10/04/2018,Tuesday,Tue,2,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
11/04/2018,Wednesday,Wed,3,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
12/04/2018,Thursday,Thu,4,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
13/04/2018,Friday,Fri,5,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
14/04/2018,Saturday,Sat,6,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
15/04/2018,Sunday,Sun,7,0,April,Apr,8,Module 4,2017-18,0,2017,0,2017-18 Module 4,4
16/04/2018,Monday,Mon,1,28,April,Apr,8,Module 5,2017-18,17/18,2017,2018,2017-18 Module 5,5
17/04/2018,Tuesday,Tue,2,28,April,Apr,8,Module 5,2017-18,17/18,2017,2018,2017-18 Module 5,5
18/04/2018,Wednesday,Wed,3,28,April,Apr,8,Module 5,2017-18,17/18,2017,2018,2017-18 Module 5,5
19/04/2018,Thursday,Thu,4,28,April,Apr,8,Module 5,2017-18,17/18,2017,2018,2017-18 Module 5,5
20/04/2018,Friday,Fri,5,28,April,Apr,8,Module 5,2017-18,17/18,2017,2018,2017-18 Module 5,5
21/04/2018,Saturday,Sat,6,28,April,Apr,8,Module 5,2017-18,17/18,2017,2018,2017-18 Module 5,5
